OBJECTID,Shape_Length,Site_ID,Length_G
1,0.001092202,S1,117.057054
3,0.000739843,S1,79.45269779
4,0.000684931,S1,73.33926771
5,0.001034815,S1,109.9761642
6,0.000951404,S1,101.7318709
7,0.000964234,S1,103.4787207
8,0.001054685,S1,112.6825985
9,0.000860934,S1,92.00586669
10,0.000553443,S1,59.51067596
11,0.000996805,S1,107.2313935
12,0.000863185,S1,92.52936058
13,0.000481449,S1,51.65176067
14,0.000533757,S1,56.64268189
15,0.000677932,S1,72.77477669
16,0.00105829,S1,113.4136354
17,0.000857109,S1,91.78500625
18,0.000807677,S1,86.88022787
22,0.000460134,S1,49.26258646
23,0.000722407,S1,77.69312903
24,0.000676242,S1,72.76817805
25,0.000943012,S1,101.144039
26,0.000569038,S1,60.97043575
27,0.001079341,S1,116.7587516
28,0.000711419,S1,77.45336901
29,0.000857653,S1,92.77337467
30,0.001155592,S1,124.8998218
31,0.001047565,S1,113.670875
32,0.001137028,S1,123.9590458
33,0.000752609,S1,81.94286796
34,0.000784606,S1,85.95414093
35,0.000959487,S1,105.2922663
37,0.00033713,S1,36.95850249
38,0.000233467,S1,25.57502622
39,0.000236802,S1,25.84218647
40,0.000794089,S1,85.84235582
41,0.000765533,S1,82.61264369
42,0.001377789,S1,150.2697662
43,0.001306939,S1,142.0636936
44,0.000460792,S1,50.54069601
45,0.000633547,S1,69.4669358
46,0.000484826,S1,52.82181738
48,0.000425952,S1,46.31865412
49,0.000771102,S1,83.12867525
50,0.000896355,S1,96.22820612
51,0.000968229,S1,104.2326126
52,0.001062815,S2,112.2577948
53,0.001978773,S2,206.8577653
54,0.000926145,S2,98.83558351
55,0.001942738,S2,205.9253043
56,0.002224101,S2,233.9637566
58,0.000575833,S2,60.67931967
59,0.001397025,S2,148.4936891
60,0.002238097,S2,239.2388035
62,0.000794597,S3,87.45230003
64,0.00095097,S3,104.7930497
65,0.00087552,S3,96.44890324
66,0.00066127,S3,72.93432193
67,0.001086516,S3,119.8402265
68,0.001044172,S3,115.0058422
69,0.001277217,S3,140.6554216
70,0.000865662,S3,95.30625317
