# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,
# area,,state/territory where the survey was conducted,,,
# avg_rugosity,,average roughness of the floor surface,,,
# biomass,,estimated biomass,,Grams,g
# block,,number of the block ,,,
# category,,sub-class of the annotation schema,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# common_class_name,,common name of the taxonomic rank,,,
# common_family_name,,common name of the taxonomic rank,,,
# common_name,,common name of the taxonomic rank,,,
# common_phylum_name,,common name of the taxonomic rank,,,
# country,,country where the survey was conducted,,,
# currents,,currents index,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             
# direction,,compass direction,True bearing,,
# ecoregion,,ecological region where the survey was conducted,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# frequency,,rarity index frequency of the species,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,
# hour,time,local time of sample collection,,,
# latest surveydate for site,,latest survey date at the site,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,
# location,,city/council where the survey was conducted,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# major_category,,class of the annotation schema,,,
# max_length,,maximum length of the species,,Centimetres,cm
# max_rugosity,,maximum roughness of the floor surface,,,
# method,,identifier for method applied to collect the observation,,,
# methods,,list of methods applied to collect the survey observations,,,
# mpa,,Marine Protected Area,,,
# num_points,,number of points associated to the observed item,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,
# province,,ecological province where the survey was collected,,,
# quadrat,,Quadrat number,,,
# range,,rarity index range of the species,,Kilometres,km
# realm,,realm where the survey was conducted,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# relief,,relief index,,,
# reporting_name,,reporting name for the observed species,,,
# resolution,,annotation schema,,,
# site_code,,code for the survey site,,,
# site_name,,name of the survey site,,,
# size_class,,size class,,Centimetres,cm
# slope,,slope index,,,
# species_id,,species identifier,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# superseded_ids,,species identifier of the superseded species,,,
# superseded_names,,name of the superseded species,,,
# surface,,type of substrate,,,
# survey_date,,local date,,Date,yyyy-mm-dd
# survey_id,,survey identification number,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# survey_notes,,additional notes about the survey,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# total,,total number of observations,,,
# total_points,,total number of point counted in the Quadrat,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             
# wave_exposure,,wave exposure index,,,

FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid--6d42ff34_183dac69041_1738,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Epibulus insidiator,Epibulus insidiator,20,1,228.8086,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1739,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres trimaculatus,Halichoeres trimaculatus,5,1,3.7013,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173a,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma hardwicke,Thalassoma hardwicke,5,5,11.5789,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173b,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma hardwicke,Thalassoma hardwicke,7.5,2,15.4927,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173c,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Scaridae,Chlorurus sordidus,Chlorurus sordidus,7.5,3,49.6448,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173d,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis argus,Cephalopholis argus,35,1,685.5643,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173e,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Labridae,Stethojulis strigiventer,Stethojulis strigiventer,10,1,24.2526,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_173f,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus bohar,Lutjanus bohar,35,1,638.6807,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1740,912342146,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP53,Fakarava Nth Inside,-16.08,-145.7,2012-06-28,3,RLS,15,16:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Zanclidae,Zanclus cornutus,Zanclus cornutus,15,2,499.5922,POINT (-145.6999969482422 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1741,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus thompsoni,Acanthurus thompsoni,12.5,100,7160.232,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1742,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon pelewensis,Chaetodon pelewensis,7.5,9,190.6723,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1743,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon reticulatus,Chaetodon reticulatus,12.5,2,205.5481,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1744,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Forcipiger flavissimus,Forcipiger flavissimus,10,5,97.2655,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1745,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus pyroferus,Acanthurus pyroferus,15,2,196.2131,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1746,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus thompsoni,Acanthurus thompsoni,12.5,150,10740.348,POINT (-145.7100067138672 -16.079999923706055)
ep_m1_public_data.fid--6d42ff34_183dac69041_1747,912342149,French Polynesia,Iles Tuamotu,Tuamotus,Eastern Indo-Pacific,Tuamotos,FP55,Fakarava Nth Pass Outside,-16.08,-145.71,2012-06-30,15,RLS,40,08:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Labridae,Gomphosus varius,Gomphosus varius,10,1,15.2023,POINT (-145.7100067138672 -16.079999923706055)
