OBJECTID,Shape_Length,Site_ID,Length
1,0.001739318,S1,188.4301672
2,0.001797836,S1,194.9388694
3,0.001789473,S1,193.7536529
4,0.001806599,S1,195.2106616
5,0.001506297,S1,162.8993015
6,0.001397725,S1,151.1032095
7,0.001464162,S1,158.6821424
8,0.001406807,S1,152.3194598
9,0.001270438,S1,137.8114356
11,0.001261502,S1,137.076242
12,0.001561744,S1,169.9949649
13,0.001781713,S1,193.6316302
14,0.001680132,S1,182.7838099
15,0.001269139,S1,138.4694941
16,0.001311551,S1,142.9340466
17,0.000932791,S1,102.0161695
18,0.001208179,S1,132.2338699
19,0.001273456,S1,139.24653
20,0.001390099,S1,151.8838811
22,0.001417923,S1,154.9422126
23,0.001396938,S1,152.8310634
24,0.001981666,S2,205.1620668
25,0.002565966,S2,265.9901166
26,0.001127957,S2,117.065868
27,0.000769869,S2,79.78738514
28,0.001727812,S2,179.2372244
29,0.002199763,S2,227.9131328
30,0.000919116,S2,95.9961126
31,0.00066934,S2,69.46064135
32,0.001263068,S2,131.2534399
33,0.000953231,S2,99.30005013
34,0.000587355,S2,61.56351048
35,0.000153477,S2,16.27988898
36,0.000236801,S2,24.70033979
37,0.000598469,S2,62.31198986
38,0.000753319,S2,78.88839693
39,0.000519228,S2,54.2722401
40,0.000308125,S2,32.01930239
41,0.000660088,S2,68.36914038
42,0.00071186,S2,73.96346173
43,0.001602724,S3,176.6911928
44,0.001544098,S3,170.1728378
45,0.001438325,S3,158.5369951
46,0.001538368,S3,169.5186161
47,0.001498049,S3,165.0996373
48,0.001286434,S3,141.8246143
49,0.001212682,S3,133.64481
50,0.001196535,S3,131.9201983
51,0.001078559,S3,118.9271871
52,0.001321297,S3,145.6967395
53,0.001214297,S3,133.8681031
54,0.001292157,S3,142.4658678
55,0.001313784,S3,144.8498803
56,0.001470065,S3,162.0709405
57,0.001368993,S3,150.9110471
58,0.001406186,S3,155.0270456
59,0.001341789,S3,147.8451765
60,0.001320109,S3,145.4837527
61,0.00127888,S3,140.9088561
62,0.00135452,S3,149.239042
63,0.0014033,S3,154.6077705
64,0.001472945,S3,162.302072
65,0.001236581,S3,136.1943412
66,0.000957944,S6,105.947231
67,0.001236583,S6,136.779406
68,0.001127412,S6,124.6860487
69,0.001102401,S6,121.8468602
70,0.001135451,S6,125.4579503
71,0.000996233,S6,109.961242
72,0.000872188,S6,96.29138387
73,0.000890316,S6,98.38452484
74,0.000975136,S6,107.7853883
75,0.000953361,S6,105.3942941
76,0.001203155,S6,132.9901277
77,0.001188901,S6,131.3711782
78,0.0011194,S6,123.684292
79,0.000815434,S6,90.10313844
80,0.001352818,S6,149.5233373
81,0.001530266,S6,169.11703
82,0.001233665,S6,136.2896868
83,0.001014557,S6,112.0970034
84,0.001360213,S6,150.1839398
85,0.001617943,S6,178.5744197
86,0.001446778,S6,159.6517745
87,0.001543729,S6,170.383976
88,0.001456827,S6,160.6272566
89,0.000813849,S6,89.71114703
90,0.00080475,S6,88.65572721
91,0.000872754,S6,96.21390099
92,0.000582787,S6,64.21393247
93,0.001071339,S7,118.4752155
94,0.001202994,S7,133.0284941
95,0.001239935,S7,137.1019613
96,0.00129527,S7,143.2509059
97,0.001262621,S7,139.5741606
