OBJECTID,Shape_Length,Site_ID,Length
1,2.01653E-05,S1,2.068912229
2,2.34835E-05,S1,2.484769853
3,5.1054E-05,S1,5.354238594
4,4.3874E-05,S1,4.632387904
5,3.06696E-05,S1,3.207283096
6,2.45662E-05,S1,2.610115166
7,6.7515E-05,S1,6.932377634
8,2.65207E-05,S1,2.793245982
9,2.96004E-05,S1,3.129028479
10,1.48518E-05,S1,1.519574252
11,1.84746E-05,S1,1.922908826
12,3.6984E-05,S1,3.821754054
13,2.45658E-05,S1,2.564420996
14,3.72284E-05,S1,3.852662523
15,4.12591E-05,S1,4.277062164
16,2.80087E-05,S1,2.893126878
17,2.72182E-05,S1,2.798978775
18,1.16309E-05,S1,1.191400448
19,1.33E-05,S1,1.389330157
20,1.56034E-05,S1,1.609361166
21,1.36084E-05,S1,1.466370772
22,1.76089E-05,S1,1.820484125
23,2.40084E-05,S1,2.583985668
24,3.20298E-05,S1,3.316481957
25,2.92095E-05,S1,3.008525332
26,2.40093E-05,S1,2.472151641
27,1.63207E-05,S1,1.718953242
28,1.93541E-05,S1,1.972201224
29,1.24097E-05,S1,1.284240535
30,1.33007E-05,S1,1.389404546
31,1.44252E-05,S1,1.496462289
32,1.93536E-05,S1,1.972145223
33,1.5604E-05,S1,1.609425698
34,3.6179E-05,S1,3.669406984
35,1.53339E-05,S1,1.626404784
36,2.00409E-05,S1,2.054664359
37,3.87622E-05,S1,4.082537763
38,4.3803E-05,S1,4.406234817
39,2.92095E-05,S1,3.008520005
40,1.02007E-05,S1,1.074369735
41,8.45356E-05,S1,8.596552263
42,1.5604E-05,S1,1.609423576
43,1.24091E-05,S1,1.284170632
44,2.38452E-05,S1,2.525898829
45,1.9621E-05,S1,2.032334065
46,1.16302E-05,S1,1.159977684
47,1.36097E-05,S1,1.466514177
48,5.54967E-05,S1,5.667301458
49,9.99133E-05,S1,10.0552361
50,1.74303E-05,S1,1.770331554
51,3.79074E-05,S1,3.980919272
52,3.53077E-05,S1,3.595955969
53,2.64827E-05,S1,2.710962494
54,7.94992E-05,S1,7.952034928
55,2.92096E-05,S1,2.949081304
56,2.77492E-05,S1,2.833731335
57,0.000124114,S1,12.56343592
58,6.34897E-05,S1,6.419486498
59,3.04309E-05,S1,3.126182215
60,4.45335E-05,S1,4.52625316
62,8.3345E-05,S1,8.452625439
63,1.93545E-05,S1,1.972219877
64,2.58056E-05,S1,2.62958812
65,2.16386E-05,S1,2.24476001
66,3.96903E-05,S1,4.001416536
67,2.14451E-05,S1,2.247189862
68,1.2903E-05,S1,1.314821253
70,2.33051E-05,S1,2.357961708
71,2.19451E-05,S1,2.221748793
72,1.56953E-05,S1,1.603250209
73,5.69044E-05,S1,5.836102663
74,5.67892E-05,S1,5.817103696
75,7.79612E-05,S1,7.853302291
76,7.82383E-05,S2,8.649788017
77,0.000111287,S2,12.13395221
78,0.000135496,S2,14.66638836
79,0.000369523,S2,40.15180933
80,0.000304428,S2,33.32469244
81,0.000185133,S2,20.27205942
82,0.000187841,S2,20.4992078
83,8.09505E-05,S2,8.606724725
84,0.000117286,S2,12.74288476
86,0.000151955,S2,16.40097723
87,0.000176806,S2,19.08734649
88,0.000187983,S2,20.36721244
89,0.000384183,S2,41.91177755
90,0.000423765,S2,46.25871115
91,0.000634795,S2,69.95392013
92,8.69436E-05,S2,9.479762576
93,0.000109494,S2,11.44393634
94,0.00010292,S2,11.28532463
95,0.00032133,S2,35.02785785
96,0.000211711,S2,22.91635399
97,0.00086475,S2,93.12166653
98,4.75123E-05,S2,5.182662387
99,4.72759E-05,S2,5.151753596
100,3.35723E-05,S3,3.689164266
101,6.37405E-05,S3,7.002248379
102,2.73014E-05,S3,3.000250347
103,3.12087E-05,S3,3.427160361
104,4.65852E-05,S3,5.112928345
105,4.28901E-05,S3,4.712108722
106,3.40444E-05,S3,3.733892199
107,7.5838E-05,S3,8.335732954
108,2.55097E-05,S3,2.805294791
109,5.06214E-05,S3,5.554065553
110,5.03584E-05,S3,5.533744559
111,4.25906E-05,S3,4.676395932
112,5.36208E-05,S3,5.878879525
113,5.98165E-05,S3,6.556864862
114,3.37773E-05,S3,3.713100616
115,7.03077E-05,S3,7.715142153
116,4.88577E-05,S3,5.364894179
117,2.78418E-05,S3,3.052521527
118,5.42515E-05,S3,5.959083873
119,3.19664E-05,S3,3.504732852
120,5.6629E-05,S3,6.222620169
121,1.97005E-05,S3,2.157436589
122,2.18748E-05,S3,2.394671791
123,5.05275E-05,S3,5.539727915
124,3.1967E-05,S3,3.504792503
125,5.469E-05,S3,5.993529055
126,2.59635E-05,S3,2.850687134
127,2.79177E-05,S3,3.063529437
128,8.46123E-05,S3,9.272858544
129,5.70507E-05,S3,6.247477365
130,5.90029E-05,S3,6.475731698
131,6.15422E-05,S3,6.759791835
132,4.35049E-05,S3,4.775209361
133,7.62849E-05,S3,8.387648592
134,8.93852E-05,S3,9.823766717
135,5.52708E-05,S3,6.050097276
136,2.71251E-05,S3,2.979462198
137,3.7817E-05,S3,4.155940937
138,5.51262E-05,S3,6.05352629
139,6.29008E-05,S3,6.896292458
140,7.11794E-05,S3,7.806601466
141,5.13717E-05,S3,5.644817605
142,6.37405E-05,S3,7.002229054
143,6.24175E-05,S3,6.854301776
144,8.8138E-05,S3,9.675520833
145,6.83368E-05,S3,7.50043343
146,4.61146E-05,S3,5.046414489
147,0.000112642,S3,12.3806304
148,9.32677E-05,S3,10.23790072
149,7.64593E-05,S3,8.367381336
150,4.32838E-05,S3,4.735145335
151,6.1637E-05,S3,6.738416849
152,8.15212E-05,S3,8.933924012
153,7.67504E-05,S3,8.425648529
154,6.41401E-05,S3,7.038925394
155,0.000109293,S3,12.0179234
156,9.15813E-05,S3,10.05727537
157,6.19466E-05,S3,6.787832435
158,6.29094E-05,S3,6.895935449
159,7.81639E-05,S3,8.584882715
160,7.24021E-05,S3,7.956116514
161,6.56232E-05,S3,7.183834869
162,3.40134E-05,S3,3.720104049
163,3.32537E-05,S3,3.651336833
164,0.000128498,S3,14.11594168
165,0.000102169,S3,11.1963437
167,5.46095E-05,S3,5.981719078
168,3.88144E-05,S3,4.261530157
169,6.87868E-05,S3,7.555277053
170,0.000108304,S3,11.85198822
171,7.07139E-05,S3,7.736311615
172,6.63521E-05,S3,7.301264733
173,8.38999E-05,S3,9.198576126
174,8.55414E-05,S3,9.39456488
175,2.03587E-05,S6,2.202928038
176,2.24971E-05,S6,2.427368282
177,1.60327E-05,S6,1.742968361
178,2.10885E-05,S6,2.284013482
180,2.90526E-05,S6,3.134893165
181,4.23662E-05,S6,4.580181783
182,0.000120794,S6,13.08253149
183,1.89562E-05,S6,2.056274369
184,2.46829E-05,S6,2.67664109
185,2.18761E-05,S6,2.371561563
186,6.25019E-05,S6,6.781162814
187,4.65567E-05,S6,5.076205955
188,3.49455E-05,S6,3.803886432
189,3.64037E-05,S6,3.928285631
190,6.66877E-05,S6,7.196378771
191,2.64243E-05,S6,2.851190187
192,5.22125E-05,S6,5.640708076
193,2.2674E-05,S6,2.451214616
194,3.8193E-05,S6,4.120918631
195,1.47625E-05,S6,1.593328697
197,2.45208E-05,S6,2.665732584
198,5.62713E-05,S6,6.088592721
199,5.19732E-05,S6,5.626895973
200,6.08647E-05,S6,6.587551835
201,2.25413E-05,S6,2.462394248
202,4.89855E-05,S6,5.311438239
203,9.3129E-05,S6,10.10650919
204,2.97879E-05,S6,3.238341545
205,2.69505E-05,S6,2.908009161
206,4.83561E-05,S6,5.241767637
207,9.87128E-05,S6,10.653082
208,4.84953E-05,S6,5.232580995
209,2.60323E-05,S6,2.836825865
210,3.23786E-05,S6,3.544664452
211,1.81325E-05,S6,1.971242178
212,3.26109E-05,S6,3.5360481
213,2.6032E-05,S6,2.823827156
214,1.30165E-05,S6,1.418450413
215,3.53511E-05,S6,3.856866816
216,2.10836E-05,S6,2.283254753
217,1.55964E-05,S6,1.698906448
218,2.20174E-05,S6,2.393591711
219,2.33128E-05,S6,2.53441412
220,2.74742E-05,S6,2.997091193
221,5.43961E-05,S6,5.913575355
222,2.72287E-05,S6,2.956935711
223,2.07632E-05,S6,2.254075696
224,1.69055E-05,S6,1.830399078
225,2.25492E-05,S6,2.437634865
226,1.83114E-05,S6,1.99501411
227,1.90639E-05,S6,2.072504647
228,1.39882E-05,S6,1.52070458
229,1.51798E-05,S6,1.643902766
230,9.79201E-06,S6,1.064523059
231,1.49204E-05,S6,1.622054179
232,9.80196E-06,S6,1.064459719
233,2.39433E-05,S6,2.610313192
234,1.87956E-05,S6,2.037840483
235,1.26231E-05,S6,1.37472088
